ID,Battery Level,Device ID,Last Seen,Latitude,Longitude,Major,Minor,Name,Relative,Role Group ID,UUID
179263800,99,"179,263,799","January 25, 2025, 9:52 AM",49.68156879° N,12.19910067° E,1,55,SF:00:00:00:00:00:E1,false,"179,304,641",2f75105260d66101776a34279783a327
179263795,99,"179,263,794","January 25, 2025, 10:18 AM",49.68161673° N,12.19905842° E,1,57,SF:00:00:00:00:00:DE,false,"179,304,641",2f75105260d66101776a34279783a327
179263770,99,"179,263,769","January 25, 2025, 10:20 AM",49.68140804° N,12.19918080° E,1,56,SF:00:00:00:00:00:DF,false,"179,304,641",2f75105260d66101776a34279783a327
154467323,,"154,467,322","January 25, 2025, 10:17 AM",49.68167905° N,12.19921533° E,"65,535","2,435",bz2435,false,"154,418,322",2f75105260d66101776a34279783a327
154467618,100,0,"January 25, 2025, 9:53 AM",49.68155265° N,12.19905674° E,1,15,W10T_A7H_B-1-15 Bürste,false,"154,466,085",2f75105260d66101776a34279783a327
154467604,100,0,"January 25, 2025, 9:44 AM",49.68145489° N,12.19913944° E,1,13,W10T_A7H_B-1-13,false,"154,466,085",2f75105260d66101776a34279783a327
154467600,99,0,"January 25, 2025, 10:27 AM",49.68168614° N,12.19924653° E,1,1,W10T_A7H_B-1-1,false,"154,466,085",2f75105260d66101776a34279783a327
154467608,99,0,"January 25, 2025, 9:52 AM",49.68150738° N,12.19927931° E,1,5,W10T_A7H_B-1-5,false,"154,466,085",2f75105260d66101776a34279783a327
154467610,10,0,"December 12, 2024, 11:11 AM",49.68152110° N,12.19914174° E,1,11,W10T_A7H_B-1-11,false,"154,466,085",2f75105260d66101776a34279783a327
154467586,99,0,"December 12, 2024, 4:01 PM",49.68161798° N,12.19919488° E,1,19,W10T_A7H_B-1-19 Tränke,false,"154,466,085",2f75105260d66101776a34279783a327
154467592,99,0,"January 25, 2025, 9:53 AM",49.68150333° N,12.19910000° E,1,14,W10T_A7H_B-1-14,false,"154,466,085",2f75105260d66101776a34279783a327
154467508,99,0,"January 25, 2025, 10:31 AM",49.68158996° N,12.19933106° E,1,3,W10T_A7H_B-1-3,false,"154,466,085",2f75105260d66101776a34279783a327
154467510,100,0,"January 25, 2025, 10:18 AM",49.68166941° N,12.19902992° E,1,18,W10T_A7H_B-1-18 Tränke,false,"154,466,085",2f75105260d66101776a34279783a327
154467574,5,0,"December 11, 2024, 2:44 PM",49.68154162° N,12.19937470° E,1,4,W10T_A7H_B-1-4,false,"154,466,085",2f75105260d66101776a34279783a327
154467568,100,0,"January 25, 2025, 10:07 AM",49.68155539° N,12.19923681° E,1,6,W10T_A7H_B-1-6,false,"154,466,085",2f75105260d66101776a34279783a327
154467578,99,0,"January 25, 2025, 9:44 AM",49.68147260° N,12.19918427° E,1,12,W10T_A7H_B-1-12,false,"154,466,085",2f75105260d66101776a34279783a327
154467552,100,0,"January 25, 2025, 10:03 AM",49.68160435° N,12.19919419° E,1,7,W10T_A7H_B-1-7,false,"154,466,085",2f75105260d66101776a34279783a327
154467560,99,0,"July 22, 2024, 11:10 AM",49.68164960° N,12.19913520° E,1,8,W10T_A7H_B-1-8 AMS,false,"154,466,085",2f75105260d66101776a34279783a327
154467562,100,0,"January 25, 2025, 10:28 AM",49.68163840° N,12.19928926° E,1,2,W10T_A7H_B-1-2,false,"154,466,085",2f75105260d66101776a34279783a327
